Accesion Code;Submission_ID;Submission_date;Virus_Acronym;Sequence_ID;Isolate;Bioproject;Country
BK075017;3005697;17/09/2025 23:30;PaphDPV6;PaphDPV6_SRR9842184_RNA1;SRR9842184;PRJNA550294;China
BK075018;3005697;17/09/2025 23:30;CymbDPV2;CymbDPV2_SRR15058106_RNA1;SRR15058106;PRJNA744371;China
BK075019;3005697;17/09/2025 23:30;CoralDPV1;CoralDPV1_SRR15368600_RNA1;SRR15368600;PRJNA752837;USA
BK075020;3005697;17/09/2025 23:30;DacthCV2;DacthCV2_SRR17665606_RNA1;SRR17665606;PRJNA317244;Hungary
BK075021;3005697;17/09/2025 23:30;DacthCV2;DacthCV2_SRR3330398_RNA1;SRR3330398;PRJNA317244;Sweden
BK075022;3005697;17/09/2025 23:30;DacthCV1;DacthCV1_SRR3330393_RNA1;SRR3330393;PRJNA317244;France
BK075023;3005697;17/09/2025 23:30;DacthDPV4;DacthDPV4_SRR17665611;SRR17665611;PRJNA317244;Hungary
BK075024;3005697;17/09/2025 23:30;DacthDPV4;DacthDPV4_SRR3330400;SRR3330400;PRJNA317244;United_Kingdom
BK075025;3005697;17/09/2025 23:30;DacthDPV6;DacthDPV6_SRR17665618;SRR17665618;PRJNA317244;Hungary
BK075026;3005697;17/09/2025 23:30;HabDPV2;HabDPV2_SRR1867575_RNA1;SRR1867575;PRJNA277581;Taiwan
BK075027;3005697;17/09/2025 23:30;PlatDPV1;PlatDPV1_SRR18919246;SRR18919246;PRJNA739531;China
BK075028;3005697;17/09/2025 23:30;PlatDPV2;PlatDPV2_SRR18919258;SRR18919258;PRJNA739531;China
BK075029;3005697;17/09/2025 23:30;ErycDPV2;ErycDPV2_SRR1913867;SRR1913867;PRJNA278061;Taiwan
BK075030;3005697;17/09/2025 23:30;DacthDPV5;DacthDPV5_SRR3330395;SRR3330395;PRJNA317244;United_Kingdom
BK075031;3005697;17/09/2025 23:30;SerapDPV1;SerapDPV1_SRR4270980;SRR4270980;PRJNA343607;nan
BK075032;3005697;17/09/2025 23:30;HemDPV2;HemDPV2_SRR5722142;SRR5722142;PRJNA310678;China
BK075033;3005697;17/09/2025 23:30;HemDPV4;HemDPV4_SRR5722142;SRR5722142;PRJNA310678;China
BK075034;3005697;17/09/2025 23:30;HemDPV6;HemDPV6_SRR5722142;SRR5722142;PRJNA310678;China
BK075035;3005697;17/09/2025 23:30;HabDPV1;HabDPV1_SRR5722143;SRR5722143;PRJNA310678;China
BK075036;3005697;17/09/2025 23:30;GalDPV1;GalDPV1_SRR5722169;SRR5722169;PRJNA310678;China
BK075037;3005697;17/09/2025 23:30;PhragDPV1;PhragDPV1_SRR6127594;SRR6127594;PRJNA412930;USA
BK075038;3005697;17/09/2025 23:30;EpipDPV5;EpipDPV5_SRR7030607;SRR7030607;PRJNA450088;Luxembourg
BK075039;3005697;17/09/2025 23:30;EpipDPV5;EpipDPV5_SRR7030609;SRR7030609;PRJNA450088;France
BK075040;3005697;17/09/2025 23:30;EpipDPV3;EpipDPV3_SRR7030609;SRR7030609;PRJNA450088;France
BK075041;3005697;17/09/2025 23:30;CyprDPV1;CyprDPV1_SRR7466547;SRR7466547;PRJNA479379;China
BK075042;3005697;17/09/2025 23:30;CyprDPV1;CyprDPV1_SRR26456931;SRR26456931;PRJNA1029356;China
BK075043;3005697;17/09/2025 23:30;CyprDPV1;CyprDPV1_SRR26456953;SRR26456953;PRJNA1029356;China
BK075044;3005697;17/09/2025 23:30;ErycDPV1;ErycDPV1_SRR7649989;SRR7649989;PRJNA483943;Panama
BK075045;3005697;17/09/2025 23:30;GymnDPV5;GymnDPV5_SRR8175671;SRR8175671;PRJNA504609;Italy
BK075046;3005697;17/09/2025 23:30;GymnDPV7;GymnDPV7_SRR8175671;SRR8175671;PRJNA504609;Italy
BK075047;3005697;17/09/2025 23:30;GymnDPV1;GymnDPV1_SRR8175673;SRR8175673;PRJNA504609;Switzerland
BK075048;3005697;17/09/2025 23:30;GymnDPV2;GymnDPV2_SRR8175718;SRR8175718;PRJNA504609;Switzerland
BK075049;3005697;17/09/2025 23:30;GymnDPV4;GymnDPV4_SRR8175725;SRR8175725;PRJNA504609;Switzerland
BK075050;3005697;17/09/2025 23:30;PaphDPV5;PaphDPV5_SRR9842179;SRR9842179;PRJNA550294;China
BK075051;3005697;17/09/2025 23:30;GymnDPV6;GymnDPV6_SRR22671435;SRR22671435;PRJNA910785;China
BK075052;3005697;17/09/2025 23:30;GlossDPV1;GlossDPV1_SRR26799544;SRR26799544;PRJNA1039539;Australia
BK075053;3005697;17/09/2025 23:30;OphrDPV5;OphrDPV5_SRR10189334;SRR10189334;PRJNA574279;Italy
BK075054;3005697;17/09/2025 23:30;DendrDPV2;DendrDPV2_SRR12805748;SRR12805748;PRJNA668448;uncalculated
BK075055;3005697;17/09/2025 23:30;DendrDPV2;DendrDPV2_SRR15036782;SRR15036782;PRJNA725550;China
BK075056;3005697;17/09/2025 23:30;DendrDPV2;DendrDPV2_SRR24083826;SRR24083826;PRJNA952313;China
BK075057;3005697;17/09/2025 23:30;EpidDPV1;EpidDPV1_SRR13069835;SRR13069835;PRJNA678229;Brazil
BK075058;3005697;17/09/2025 23:30;PaphDPV2;PaphDPV2_SRR13330707;SRR13330707;PRJNA684752;uncalculated
BK075059;3005697;17/09/2025 23:30;PaphDPV2;PaphDPV2_SRR1405685;SRR1405685;PRJNA252662;uncalculated
BK075060;3005697;17/09/2025 23:30;PaphDPV2;PaphDPV2_SRR15793056;SRR15793056;PRJNA760286;China
BK075061;3005697;17/09/2025 23:30;PaphDPV2;PaphDPV2_SRR5722160;SRR5722160;PRJNA310678;China
BK075062;3005697;17/09/2025 23:30;PaphDPV2;PaphDPV2_SRR6513332;SRR6513332;PRJNA431671;China
BK075063;3005697;17/09/2025 23:30;PaphDPV4;PaphDPV4_SRR14793823;SRR14793823;PRJNA737079;uncalculated
BK075064;3005697;17/09/2025 23:30;CremDPV1;CremDPV1_SRR15887019;SRR15887019;PRJNA762946;China
BK075065;3005697;17/09/2025 23:30;GoodDPV1;GoodDPV1_SRR1867375;SRR1867375;PRJNA277580;Taiwan
BK075066;3005697;17/09/2025 23:30;PlatDPV4;PlatDPV4_SRR18919250;SRR18919250;PRJNA739531;China
BK075067;3005697;17/09/2025 23:30;PlatDPV4;PlatDPV4_SRR18919251;SRR18919251;PRJNA739531;China
BK075068;3005697;17/09/2025 23:30;HemDPV5;HemDPV5_SRR5722142;SRR5722142;PRJNA310678;China
BK075069;3005697;17/09/2025 23:30;HemDPV1;HemDPV1_SRR5722142;SRR5722142;PRJNA310678;China
BK075070;3005697;17/09/2025 23:30;EpipDPV1;EpipDPV1_SRR7030597;SRR7030597;PRJNA450088;France
BK075071;3005697;17/09/2025 23:30;EpipDPV2;EpipDPV2_SRR7030607;SRR7030607;PRJNA450088;Luxembourg
BK075072;3005697;17/09/2025 23:30;EpipDPV2;EpipDPV2_SRR7030609;SRR7030609;PRJNA450088;France
BK075073;3005697;17/09/2025 23:30;EpipDPV4;EpipDPV4_SRR7030605;SRR7030605;PRJNA450088;France
BK075074;3005697;17/09/2025 23:30;CyprDPV2;CyprDPV2_SRR7466533;SRR7466533;PRJNA479379;China
BK075075;3005697;17/09/2025 23:30;CyprDPV3;CyprDPV3_SRR7466533;SRR7466533;PRJNA479379;China
BK075076;3005697;17/09/2025 23:30;DendrDPV3;DendrDPV3_SRR8887202;SRR8887202;PRJNA532339;China
BK075077;3005697;17/09/2025 23:30;CalanthDPV1;CalanthDPV1_SRR16768008;SRR16768008;PRJNA766248;China
BK075078;3006170;18/09/2025 11:55;EaPhV1;EaPhV1_SRR7650032;SRR7650032;PRJNA483943;Panama
BK075079;3006170;18/09/2025 11:55;PaPhV1;PaPhV1_SRR25654682;SRR25654682;PRJNA1004100;China
BK075080;3006170;18/09/2025 11:55;CaPhV1;CaPhV1_SRR26456941;SRR26456941;PRJNA1029356;China
BK075081;3006170;18/09/2025 11:55;CaPhV1;CaPhV1_SRR7466546;SRR7466546;PRJNA479379;China
BK075082;3006170;18/09/2025 11:55;CaPhV2;CaPhV2_SRR26456922;SRR26456922;PRJNA1029356;China
BK075083;3006174;18/09/2025 12:04;DaPV1;DaPV1_SRR24694124;SRR24694124;PRJNA975329;China
BK075084;3006174;18/09/2025 12:04;DaPV2;DaPV2_SRR10197565;SRR10197565;PRJNA574692;China
BK075085;3006174;18/09/2025 12:04;PaPotV1;PaPotV1_SRR16596628;SRR16596628;PRJNA760286;China
BK075086;3006174;18/09/2025 12:04;PaPotV2;PaPotV2_SRR16591801;SRR16591801;PRJNA760286;China
BK075087;3006208;18/09/2025 15:12;DCaRV1;DCaRV1_SRR13425885;SRR13425885;PRJNA691441;China
BK075088;3006210;18/09/2025 15:25;CypBCRV2;CypBCRV2_SRR26456899;SRR26456899;PRJNA1029356;China
BK075089;3006210;18/09/2025 15:25;PlaGCRV1;PlaGCRV1_SRR18919244;SRR18919244;PRJNA739531;China
BK075090;3006215;18/09/2025 16:26;OiaVL1;OiaVL1_SRR1238143;SRR1238143;PRJNA244609;uncalculated
BK075091;3006219;18/09/2025 16:36;CaSLV;CaSLV_SRR7275397_RNA2;SRR7275397;PRJNA474994;China
BK075092;3006220;18/09/2025 16:50;DwaPV1;DwaPV1_SRR10295919;SRR10295919;PRJNA577972;China
BK075093;3006222;18/09/2025 17:03;EpaTLV;EpaTLV_SRR13069831;SRR13069831;PRJNA678229;Brazil
BK075094;3006222;18/09/2025 17:03;CaaTLV;CaaTLV_SRR7275399;SRR7275399;PRJNA474994;China
BK075095;3006225;18/09/2025 17:12;GEaTBV1;GEaTBV1_SRR13334631;SRR13334631;PRJNA688757;China
BK075096;3006226;18/09/2025 17:19;CaLaV;CaLaV_SRR16768008;SRR16768008;PRJNA766248;China
BK075115;3006228;2/10/2025 0:02;GraHV1;GraHV1_SRR8175633;SRR8175633;PRJNA504609;Switzerland
BK075101;3006228;2/10/2025 0:02;CyaAEDV1;CyaAEDV1_SRR15194902;SRR15194902;PRJNA743748;China
BK075102;3006228;2/10/2025 0:02;CaAEDV1;CaAEDV1_SRR12619952;SRR12619952;PRJNA661963;Australia
BK075103;3006228;2/10/2025 0:02;VaCV1;VaCV1_SRR4010892_RNA1;SRR4010892;PRJNA320814;Taiwan
BK075104;3006228;2/10/2025 0:02;CalaDPV1;CalaDPV1_SRR12619951;SRR12619951;PRJNA661963;Australia
BK075105;3006228;2/10/2025 0:02;CalaDPV1;CalaDPV1_SRR12619953;SRR12619953;PRJNA661963;Australia
BK075106;3006228;2/10/2025 0:02;CalaDPV1;CalaDPV1_SRR12619954;SRR12619954;PRJNA661963;Australia
BK075107;3006228;2/10/2025 0:02;CalaDPV2;CalaDPV2_SRR12619951;SRR12619951;PRJNA661963;Australia
BK075108;3006228;2/10/2025 0:02;CrypDPV1;CrypDPV1_SRR12619943;SRR12619943;PRJNA661963;Australia
BK075109;3006228;2/10/2025 0:02;DacthCV1;DacthCV1_SRR3330396_RNA1;SRR3330396;PRJNA317244;Austria
BK075110;3006228;2/10/2025 0:02;DacthDPV2;DacthDPV2_SRR17665596_RNA1;SRR17665596;PRJNA317244;Hungary
BK075111;3006228;2/10/2025 0:02;DacthDPV7;DacthDPV7_SRR17665596;SRR17665596;PRJNA317244;Hungary
BK075112;3006228;2/10/2025 0:02;DendrDPV2;DendrDPV2_SRR16643616;SRR16643616;PRJNA776418;China
BK075113;3006228;2/10/2025 0:02;DendrDPV4;DendrDPV4_SRR18030164_RNA1;SRR18030164;PRJNA807080;nd
BK075114;3006228;2/10/2025 0:02;GymnDPV3;GymnDPV3_SRR22671435;SRR22671435;PRJNA910785;China
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
